date, odometer, distance, -kWh, +kWh, SOC%, 12V%, address
2023-01-13 10:15, 22163.4, 1.2, -1.5, 0, 58, 85, "9;Kwakstraat; Duckstad; Nederland; 7054; AN"
2023-01-14 13:34, 22165.5, 2.1, -0.7, 0, 57, 90, "33; Achterstraat; Drunen; Heusden; Noord-Brabant; Nederland; 5151 BT; Nederland"
2023-01-14 14:27, 22167.5, 2, 0, 0, 57, 89, "9;Kwakstraat; Duckstad; Nederland; 7054; AN"
2023-01-15 13:41, 22244.9, 77.4, -16, 0, 35, 93, "1; Het Dal; Parkhof; Weert; Limburg; Nederland; 6006 KV; Nederland"
2023-01-15 17:30, 22245.5, 0.6, 0, 3.6, 40, 91, "Keulerstraat; Parkhof; Weert; Limburg; Nederland; 6006 LA; Nederland"
2023-01-15 19:17, 22323.0, 77.5, -11.6, 31.2, 67, 95, "9;Kwakstraat; Duckstad; Nederland; 7054; AN"
2023-01-16 10:49, 22327.1, 4.1, -1.5, 0, 65, 91, "Drunen; Heusden; Noord-Brabant; Nederland; 5151 SM; Nederland"
2023-01-16 17:50, 22328.6, 1.5, 0, 0, 65, 76, "7;Kwakstraat; Duckstad; Nederland; 7054; AN"
2023-01-17 14:54, 22334.4, 5.8, -1.5, 0, 63, 86, "9;Kwakstraat; Duckstad; Nederland; 7054; AN"
2023-01-18 09:50, 22339.5, 5.1, -1.5, 0, 59, 89, "Giersbergen; Drunen; Heusden; Noord-Brabant; Nederland; 5151 RG; Nederland"
2023-01-18 12:19, 22344.6, 5.1, -0.7, 0, 58, 88, "9;Kwakstraat; Duckstad; Nederland; 7054; AN"
