Keys,English,Dutch,German,French,Italian,Spanish,Swedish,Norwegian,Danish,Finnish,Portuguese,Polish,Czech,Slovak,Hungarian
key,en,nl,de,fr,it,es,sv,no,da,fi,pt,pl,cs,sk,hu
Last run,Last run,Laatste upd,Zuletzt aktualisiert,Dernier tour,Ultima corsa,Última carrera,Sista körningen,Siste tur,Sidste løbetur,Viimeinen lenkki,Última corrida,,,,
Totals,Totals,Totalen,Gesamt,Totaux,Totali,Totales,Summor,Totaler,Totaler,Yhteensä,Totais,,,,
Recuperation,Recuperation,Recuperatie,Rekuperation,Récupération,Recupero,Recuperación,Återhämtning,Gjenvinning,Restitution,Toipuminen,Recuperação,,,,
Consumption,Consumption,Consumptie,Verbrauch,Consommation,Consumo,Consumo,Konsumtion,Forbruk,Forbrug,Kulutus,Consumo,,,,
Engine,Engine,Motor,Motor,Moteur,Motore,Motor,Motor,Motor,Motor,Moottori,Motor,,,,
Climate,Climate,Klimaat,Klima,Climat,Clima,Clima,Klimat,Klima,Klima,Ilmasto,Clima,,,,
Electronic devices,Electr.,Elektr.,Elektronik,électroniques,Elettronici,Electrónicos,Elektroniska,Elektroniske,Elektroniske,Elektroniset,Eletrônicos,,,,
Battery Care,Batt.Care,Batt.onderh.,Batteriepflege,Entretien de la batterie,Cura della batteria,Cuidado de la batería,Batterivård,Batteripleie,Batteripleje,Akun hoito,Cuidados com a bateria,,,,
Trip,Trip,Rit,Fahrt,Voyage,Viaggio,Viaje,Resa,Tur,Rejse,Matka,Viagem,,,,
Distance,Distance,Afstand,Entfernung,Distance,Distanza,Distancia,Distans,Avstand,Afstand,Etäisyys,Distância,,,,
Average speed,Avg,Ø,Ø,Moy.,Media,Promedio,Genomsnittlig,Snitt,Gns.,Keskim.,média,,,,
Max speed,Max,Max,max.,Max.,massima ,máxima,högsta,maksimal,højeste,maksiminopeus,máxima,,,,
Idle time,Idle,Inactief,Wartezeit,Temps d'inactivité,Tempo di inattività,Tiempo de inactividad,Dödtid,Tomgang,Spildtid,Luppoaika,Tempo ocioso,,,,
Mon,Mon,ma,Mo,Lu,lun.,Lun,Mån,Ma.,Man.,Ma,Seg,,,,
Tue,Tue,di,Di,Ma,mar.,Mar,Tis,Ti.,Tirs.,Ti,Ter,,,,
Wed,Wed,woe,Mi,Me,mer.,Mie,Ons,On.,Ons.,Ke,Qua,,,,
Thu,Thu,don,Do,Je,gio.,Jue,Tors,To.,Tors,To,Qui,,,,
Fri,Fri,vrij,Fr,Ve,ven.,Vie,Fre,Fr.,Fre.,Pe,Sex,,,,
Sat,Sat,zat,Sa,Sa,sab.,Sab,Lör,Lø.,Lør.,La,Sab,,,,
Sun,Sun,zon,So,Di,dom.,Dom,Sön,Sø.,Søn.,Su,Dom,,,,
per hour,h,u,,,,,,,,,,,,,
Period,Period,Periode,Zeitraum,Période,Periodo,Período,Period,Periode,Periode,Kausi,Período,,,,
Date,Date,datum,Datum,Date,Data,Fecha,Datum,Dato,Dato,Päivämäärä,Encontro,,,,
Info,Info,info,Info,Info,Informazioni,Información,Info,Info,Info,Tiedot,Informações,,,,
Odometer,Odometer,Teller,Kilometerzähler,Odomètre,Odometro,Cuentakilómetros,Vägmätare,Kilometerteller,Kilometertæller,Matkamittari,hodômetro,,,,
Delta,Delta,Delta,gef.,Delta,Delta,Delta,Delta,Delta,Delta,Delta,Delta,,,,
Cost,Cost,Kosten,Kosten,Coût,Costo,Costo,Kosta,Koste,Koste,Kustannus,Custo,,,,
soc perc,SOC%,SOC%,SOC%,COS %,SOC%,SOC%,SOC%,SOC %,SOC %,SOC %,SOC%,,,,
AVG,Avg,Ø,Ø,Moy,Media,Promedio,Genomsnittlig,Snitt,Gns,Keskim,médio,,,,
MIN,Min,Min,min,Min,min,mínimo,Min,Min,Min,Min,mín.,,,,
MAX,Max,Max,max,Max,Massimo,máx.,Max,Maks,Maks,Max,máx.,,,,
12volt perc,12V%,12V%,12V%,12V%,12V%,12V%,12V%,12V %,12V%,12 V %,12V%,,,,
#charges,#Charging,#Opladen,#Geladen,#Mise en charge,#Ricarica,#cargando,#Laddning,#Lading,#Opladning,#Lataa,#Carregando,,,,
#trips,#Trips,#Ritten,#Fahrten,#Voyages,#Viaggi,#Excursiones,#Resor,#Turer,#Rejser,#Matkoja,#viagens,,,,
EV range,Range,Bereik,Reichweite,Gamme,Allineare,Alcance,Räckvidd,Område,Rækkevidde,Alue,Alcance,,,,
Address,Address,Adres,Adresse,Adresse,Indirizzo,Dirección,Adress,Adresse,Adresse,Osoite,Endereço,,,,
Vehicle upd,Vehicle upd,Voertuig upd,Fahrzeugaktualisierung,Mise à jour du véhicule,Aggiornamento del veicolo,Actualización del vehículo,Uppdatering av fordon,Oppdatering av kjøretøy,Opdatering af køretøj,Ajoneuvon päivitys,Atualização do veículo,,,,
GPS update,GPS update,GPS update,GPS-Update,Mise à jour GPS,Aggiornamento GPS,actualización GPS,GPS-uppdatering,GPS-oppdatering,GPS opdatering,GPS-päivitys,atualização de GPS,,,,
Last entry,Last entry,Laatste regel,Letzter Eintrag,Dernière entrée,Ultimo ingresso,Última entrada,Sista inlägget,Siste oppføring,Sidste indgang,Viimeinen sisääntulo,Última entrada,,,,
Last address,Last address,Laatste adres,Letzte Adresse,Dernière adresse,Ultimo indirizzo,última dirección,Sista adressen,Siste adresse,Sidste adresse,Viimeinen osoite,último endereço,,,,
Driven,Driven,Gereden,Gefahren,Conduit,Guidato,Impulsado,Driven,Kjørt,Kørt,Ajettu,Dirigido,,,,
TRIP,TRIP,RIT,FAHRT,VOYAGE,VIAGGIO,VIAJE,RESA,TUR,REJSE,MATKA,VIAGEM,,,,
DAY,DAY,DAG,TAG,JOURNÉE,GIORNO,DÍA,DAG,DAG,DAG,PÄIVÄ,DIA,,,,
WEEK,WEEK,WEEK,WOCHE,LA SEMAINE,SETTIMANA,SEMANA,VECKA,UKE,UGE,VIIKKO,SEMANA,,,,
MONTH,MONTH,MAAND,MONAT,MOIS,MESE,MES,MÅNAD,MÅNED,MÅNED,KUUKAUSI,MÊS,,,,
YEAR,YEAR,JAAR,JAHR,ANNÉE,ANNO,AÑO,ÅR,ÅR,ÅR,VUOSI,ANO,,,,
TRIPAVG,TRIP AVG,RIT-Ø,FAHRT-Ø,MOYENNE VOYAGE,MEDIA VIAGGIO,VIAJE PROMEDIO,RESA AVG,TUR SNITT,TRIP GEN,TRIP AVG,TRIP AVG,,,,
DAYAVG,DAY AVG,DAG-Ø,TAG-Ø,MOYENNE JOUR,MEDIA GIORNO,PROMEDIO DÍA,DAG AVG,DAG SNITT,DAG GNS,PÄIVÄ AVG,DIA AVG,,,,
WEEKAVG,WEEK AVG,WEEK-Ø,WOCHE-Ø,MOYENNE DE LA SEMAINE,MEDIA SETTIMANA,PROMEDIO DE LA SEMANA,VECKA AVG,UKE SNITT,UGE GNS,VIIKKO KESK,SEMANA AVG,,,,
MONTHAVG,MONTH AVG,MAAND-Ø,MONATS-Ø,MOIS MOIS,MEDIA MESE,PROMEDIO DEL MES,MÅNAD AVG,MÅNED SNITT,MÅNED GNS,KUUKAUDEN KESK,MÉD DO MÊS,,,,
YEARLY,YEARLY,JAARLIJKS,JÄHRLICH,ANNUEL,ANNUALE,ANUAL,ÅRLIG,ÅRLIG,ÅRLIGT,VUOSITTAIN,ANUAL,,,,
